"Phase","Name","Status","Code"
"0","Baseline Snapshot","Completed","CP"
"1","Contract Freeze","Completed","CP"
"2","Inventory + Canonicalization","Completed","CP"
"3","Runner + Config + Validation","Completed","CP"
"4","Classification v1","Completed","CP"
"5","Routing Plan","Completed","CP"
"6","Execute Moves","Completed","CP"
"7","Rename Engine","Completed","CP"
"8","Semantic Labeling (Tier 2.5)","Completed","CP"
"9","Git packaging","Waiting","WT"
"10","Acceptance tests","Waiting","WT"
"11","Long-term guardrails","Waiting","WT"
