"Phase","Name","Status","Code"
"0","Freeze the world","In Progress","IP"
"1","Lock canonical directory map","In Progress","IP"
"2","Consolidate project structure","Not Started","NS"
"3","Full C:\RH inventory scan","Not Started","NS"
"4","Quarantine Work-Unit Reconstruction","Completed","CP"
"5","Duplicate elimination","Waiting","WT"
"6","Windows default routing","Waiting","WT"
"7","Rename normalization","Waiting","WT"
"8","Root cleanup","Waiting","WT"
"9","Git packaging","Waiting","WT"
"10","Acceptance tests","Waiting","WT"
"11","Long-term guardrails","Waiting","WT"
